"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006458","GO:0006458","'de novo' protein folding","1/36","11/8255",0.0909090909090909,20.8459595959596,4.35886527872836,0.0469663248691844,0.399439173559643,0.393719103564461,"LOC116930116",1
"GO:0009895","GO:0009895","negative regulation of catabolic process","1/36","11/8255",0.0909090909090909,20.8459595959596,4.35886527872836,0.0469663248691844,0.399439173559643,0.393719103564461,"LOC116935383",1
"GO:0016925","GO:0016925","protein sumoylation","1/36","11/8255",0.0909090909090909,20.8459595959596,4.35886527872836,0.0469663248691844,0.399439173559643,0.393719103564461,"LOC116918842",1
"GO:0032386","GO:0032386","regulation of intracellular transport","1/36","11/8255",0.0909090909090909,20.8459595959596,4.35886527872836,0.0469663248691844,0.399439173559643,0.393719103564461,"LOC116922347",1
"GO:0007015","GO:0007015","actin filament organization","2/36","81/8255",0.0246913580246914,5.66186556927298,2.79035160547914,0.0483213741441107,0.399439173559643,0.393719103564461,"LOC116920030/LOC116925877",2
"GO:0070507","GO:0070507","regulation of microtubule cytoskeleton organization","1/36","12/8255",0.0833333333333333,19.1087962962963,4.15443098753779,0.0511280439745596,0.399439173559643,0.393719103564461,"LOC116929579",1
"GO:0016197","GO:0016197","endosomal transport","2/36","84/8255",0.0238095238095238,5.45965608465608,2.71880086062031,0.0515720963559243,0.399439173559643,0.393719103564461,"LOC116925479/LOC116919850",2
"GO:0042254","GO:0042254","ribosome biogenesis","3/36","198/8255",0.0151515151515152,3.4743265993266,2.33225981606332,0.0544026387119475,0.399439173559643,0.393719103564461,"LOC116936510/LOC116918247/LOC116922268",3
"GO:0007088","GO:0007088","regulation of mitotic nuclear division","1/36","14/8255",0.0714285714285714,16.3789682539683,3.81131859406867,0.0593985427667789,0.399439173559643,0.393719103564461,"LOC116920191",1
"GO:0015695","GO:0015695","organic cation transport","1/36","14/8255",0.0714285714285714,16.3789682539683,3.81131859406867,0.0593985427667789,0.399439173559643,0.393719103564461,"LOC116919035",1
"GO:0018345","GO:0018345","protein palmitoylation","1/36","14/8255",0.0714285714285714,16.3789682539683,3.81131859406867,0.0593985427667789,0.399439173559643,0.393719103564461,"LOC116922836",1
